step,split,loss,accuracy,macro_f1,macro_auc
1,val,1.0494303823159457,0.5888689407540395,0.40089069153757784,nan
2,val,1.239675376102783,0.5511669658886894,0.3899376324443718,nan
3,val,1.098574929220244,0.6373429084380611,0.43334830459778534,nan
4,val,0.7822510466594884,0.7109515260323159,0.5600182601663707,nan
5,val,0.7810540661296039,0.7172351885098743,0.5144167666031126,nan
6,val,0.7651839033036728,0.7360861759425493,0.5622870304423226,nan
7,val,0.768505594728237,0.7342908438061041,0.5831602252195794,nan
8,val,0.8321772882283482,0.6759425493716338,0.5262110257432814,nan
9,val,0.6777994878978019,0.7576301615798923,0.6337853872833357,nan
10,val,0.7396139897927776,0.7495511669658886,0.6016930761497168,nan
11,val,0.9034415982141957,0.7082585278276481,0.5965399499239366,nan
12,val,0.6552059097446273,0.7854578096947935,0.6484317313284177,nan
13,val,0.6735997219274031,0.7836624775583483,0.6301420133411375,nan
14,val,0.7689623027718901,0.7953321364452424,0.675448442100917,nan
15,val,0.7204069401032193,0.8132854578096947,0.6744253945449609,nan
16,val,0.6953974703269972,0.8070017953321365,0.6788697174031147,nan
17,val,0.6295854572693297,0.8150807899461401,0.6784404787218179,nan
18,val,0.7024421468577757,0.8025134649910234,0.7030312924356615,nan
19,val,0.6866947735661451,0.822262118491921,0.6866122694547361,nan
20,val,0.6494310383770207,0.8429084380610413,0.7279238931399254,nan
21,val,0.645328903406912,0.8267504488330341,0.6960637158337291,nan
22,val,0.6403261751188986,0.8375224416517055,0.7118861269348946,nan
23,val,0.6271868554584321,0.848294434470377,0.728650304285148,nan
24,val,0.6424810692142943,0.8393177737881508,0.7191937113415998,nan
25,val,0.6365152424677063,0.8384201077199281,0.714077617419135,nan
25,test,0.6093306161579791,0.8445878848063555,0.7127412040489423,nan
